#{"t_start": 1781077617.2064164, "env_id": "None"}
r,l,t
-27.7,50,13.047744
-30.0,50,13.087203
-26.6,50,13.118343
-25.6,50,13.147627
-21.6,50,13.170756
-23.7,50,13.201586
-32.6,50,13.225341
-29.0,50,13.256049
-27.3,50,13.283256
-26.8,50,13.303184
-26.9,50,14.80401
-24.9,50,14.83213
-16.7,50,14.864457
-22.1,50,14.896931
-11.6,50,14.925046
-17.3,50,14.965953
-25.8,50,14.999151
-13.3,50,15.027264
-29.8,50,15.049815
-29.4,50,15.077307
-19.4,50,15.382636
-28.5,50,15.414178
-14.4,50,15.456071
-28.1,50,15.499722
-26.4,50,15.537233
-31.6,50,15.570294
-29.6,50,15.593995
-19.9,50,15.624213
-27.2,50,15.654215
-13.3,50,15.677183
-29.8,50,15.998359
-30.3,50,16.030578
-22.8,50,16.065738
-26.5,50,16.092787
-20.2,50,16.129079
-25.0,50,16.161682
-26.7,50,16.194011
-27.4,50,16.215649
-19.0,50,16.246922
-25.7,50,16.276928
-26.9,50,16.594648
-24.1,50,16.628387
-27.7,50,16.661388
-28.8,50,16.693644
-25.8,50,16.717184
-26.8,50,16.74877
-30.3,50,16.77934
-25.6,50,16.804384
-26.2,50,16.833736
-25.3,50,16.866012
-24.5,50,16.88886
-27.0,50,17.211025
-25.8,50,17.25592
-24.7,50,17.295358
-25.1,50,17.33844
-28.2,50,17.369002
-25.3,50,17.403026
-26.5,50,17.432654
-23.0,50,17.461265
-20.0,50,17.498281
-25.5,50,17.538789
-25.5,50,17.868514
-31.0,50,17.901344
-25.9,50,17.955741
-22.1,50,18.031591
-23.1,50,18.065656
-24.0,50,18.091289
-20.6,50,18.124368
-15.5,50,18.15496
-24.8,50,18.183134
-2.1,50,18.214427
-24.4,50,18.562215
-22.3,50,18.593405
-27.2,50,18.630004
-20.7,50,18.679225
-26.6,50,18.762257
-24.5,50,18.843604
-23.1,50,18.915646
-26.6,50,19.031471
-24.0,50,19.064092
-16.9,50,19.110302
-30.8,50,19.789633
-26.7,50,19.837305
-29.0,50,19.886428
-27.7,50,20.204024
-24.4,50,20.365843
-25.5,50,20.491747
-14.4,50,20.543154
-33.4,50,20.57458
-24.0,50,20.599305
-28.7,50,20.650278
-25.8,50,20.870889
-18.5,50,22.204945
-23.8,50,22.245578
-22.4,50,22.297171
-23.3,50,22.378906
-29.3,50,22.463203
-24.1,50,22.655591
-14.8,50,22.705883
-23.9,50,22.763389
-20.5,50,22.837462
-20.3,50,22.908295
-21.3,50,23.495921
-24.5,50,23.526046
-30.1,50,23.555176
-26.3,50,23.589362
-22.1,50,23.620361
-24.1,50,23.653631
-25.0,50,23.679617
-26.5,50,23.712253
-31.8,50,23.74459
-16.9,50,23.773763
-23.7,50,24.127553
-23.2,50,24.162665
-26.2,50,24.195981
-26.0,50,24.224559
-22.3,50,24.255054
-23.9,50,24.285808
-26.6,50,24.323314
-20.3,50,24.345994
-24.9,50,24.37736
-23.9,50,24.410064
-20.9,50,24.744536
-28.3,50,24.779528
-22.2,50,24.818115
-18.8,50,24.843661
-21.3,50,24.876216
-21.5,50,24.910999
-5.8,50,24.943535
-23.3,50,24.969112
-27.4,50,24.99984
-22.1,50,25.028418
-25.0,50,25.051959
-21.1,50,25.404795
-25.2,50,25.432416
-18.3,50,25.473213
-21.3,50,25.503296
-21.5,50,25.535995
-21.1,50,25.570532
-18.4,50,25.5998
-20.7,50,25.628024
-24.9,50,25.6581
-27.5,50,25.681923
-21.3,50,26.022635
-26.1,50,26.04836
-20.5,50,26.082908
-22.9,50,26.11494
-22.5,50,26.147211
-24.5,50,26.174016
-23.6,50,26.207412
-19.3,50,26.236296
-25.8,50,26.259297
-21.1,50,26.288401
-26.7,50,26.628553
-24.1,50,26.661201
-21.0,50,26.694828
-28.4,50,26.720663
