#{"t_start": 1781077190.701003, "env_id": "None"}
r,l,t
-4.933333,50,32.142027
-0.2,50,32.183502
23.833333,50,32.211776
7.716667,50,32.238858
18.116667,50,32.416358
39.483333,50,32.458358
-21.65,6,32.463359
-14.0,50,32.506359
18.316667,50,32.585285
15.05,50,32.626648
4.6,50,32.66965
9.316667,50,36.611587
20.283333,50,36.65371
-12.466667,5,36.658711
43.7,50,36.711711
-6.666667,50,36.754063
0.55,50,36.790628
20.15,50,36.829734
-2.8,50,36.902405
30.65,50,36.953213
12.2,50,36.994664
33.95,50,37.019173
36.516667,50,37.434996
-16.416667,6,37.440298
28.133333,50,37.469296
10.7,50,37.502297
34.116667,50,37.532303
9.566667,50,37.565206
9.033333,50,37.596209
-3.6,50,37.637886
68.033333,50,37.674894
18.9,50,37.71027
2.116667,50,37.754036
2.416667,50,38.122823
18.933333,50,38.160428
10.283333,50,38.197428
13.333333,50,38.23979
89.116667,50,38.276789
24.166667,50,38.307565
-1.166667,50,38.339228
5.75,50,38.390496
29.316667,50,38.427052
69.866667,50,38.554814
0.433333,50,39.016565
21.333333,50,39.048147
-0.216667,50,39.080153
11.566667,50,39.119721
-13.783333,10,39.12933
30.633333,50,39.165932
7.183333,50,39.200504
17.033333,50,39.230061
12.416667,50,39.273985
12.25,50,39.311962
0.066667,50,39.354319
0.866667,50,39.628611
27.45,50,39.657172
47.616667,50,39.687174
24.233333,50,39.714174
38.583333,50,39.742201
22.85,50,39.789769
18.933333,50,39.818776
1.066667,50,39.843057
44.816667,50,39.869056
25.533333,50,39.895333
36.7,50,40.230908
15.933333,50,40.266537
31.783333,50,40.300538
6.35,50,40.332055
3.533333,50,40.363964
34.016667,50,40.39261
58.683333,50,40.427632
5.9,50,40.456349
-13.833333,12,40.464349
-11.166667,50,40.502349
27.583333,50,40.543388
4.033333,50,40.872367
18.25,50,40.906365
28.033333,50,40.935413
2.266667,50,40.967997
47.15,50,40.998997
33.7,50,41.034518
