#{"t_start": 1785387945.2130525, "env_id": "None"}
r,l,t
40.9,50,0.191839
215.416667,50,0.23184
-4.666667,50,0.316839
236.166667,50,0.349364
193.416667,50,0.374975
156.916667,50,0.606238
154.533333,50,0.639238
164.0,50,0.688239
236.75,50,0.728239
252.5,50,0.760315
216.333333,50,0.984481
125.333333,50,1.017535
175.166667,50,1.057489
234.666667,50,1.104482
229.583333,50,1.146485
169.283333,50,1.385907
99.116667,50,1.415906
175.666667,50,1.447905
141.166667,50,1.487905
217.333333,50,1.52291
75.283333,50,1.854437
224.583333,50,1.90144
205.95,50,1.966038
210.95,50,2.020041
161.316667,50,2.080041
249.833333,50,3.029651
117.366667,50,3.058853
182.333333,50,3.086854
181.45,50,3.118855
58.25,50,3.151856
48.183333,50,3.325047
240.833333,50,3.358046
203.666667,50,3.391565
146.583333,50,3.424127
245.833333,50,3.453667
179.75,50,3.672726
210.166667,50,3.713728
220.416667,50,3.749746
210.25,50,3.778746
166.483333,50,3.809182
2.333333,50,4.095937
46.2,50,4.124941
27.033333,50,4.146937
149.366667,50,4.176936
253.5,50,4.20394
239.666667,50,4.233938
190.5,50,4.404203
236.166667,50,4.435206
244.333333,50,4.509723
257.0,50,4.545726
66.533333,50,4.576723
197.2,50,4.737857
184.833333,50,4.778857
177.666667,50,4.808856
226.583333,50,4.837874
143.666667,50,4.863111
258.0,50,5.014111
226.083333,50,5.041128
227.783333,50,5.068212
180.866667,50,5.095221
249.916667,50,5.12321
112.283333,50,5.297439
247.916667,50,5.345439
227.583333,50,5.396471
233.866667,50,5.437469
240.75,50,5.484553
178.166667,50,5.693792
215.333333,50,5.727791
202.666667,50,5.759793
243.75,50,5.789791
243.333333,50,5.817794
238.75,50,6.046009
251.5,50,6.074648
234.783333,50,6.099663
182.25,50,6.128649
241.333333,50,6.165652
234.166667,50,6.440775
201.666667,50,6.516426
216.533333,50,6.570427
257.0,50,6.658434
185.25,50,6.732237
236.75,50,6.973533
236.25,50,7.003531
234.75,50,7.031532
213.333333,50,7.056535
162.916667,50,7.080209
179.15,50,7.111207
239.833333,50,7.294379
